Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Val_AUROC,Val_AUPRC,Best_Val_AUROC,Best_Epoch
Time-Aware LSTM 365d,1337,0.6862755896838759,0.17025202676404644,0.818997756170531,0.18552036199095023,0.39805825242718446,0.8541329011345219,0.25308641975308643,0.154380481561499,0.6049999999999998,0.7171552531909701,0.17206596967908103,0.7171552531909701,3
Time-Aware GRU 365d,1337,0.6771097228997184,0.2010316022746733,0.8339566192969334,0.20398009950248755,0.39805825242718446,0.8703403565640194,0.26973684210526316,0.17427598890775678,0.7149999999999997,0.721619855274451,0.16605175990327783,0.721619855274451,4
