Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Val_AUROC,Val_AUPRC
Logistic Regression 365d,1337,0.7051777312709477,0.18199500336551175,0.8384442782348541,0.20418848167539266,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.22668363641821232,0.5849999999999997,0.6577059661887101,0.15468050674067907
Random Forest 365d,1337,0.5917570140517066,0.10517376390134076,0.6589379207180255,0.10514541387024609,0.4563106796116505,0.6758508914100486,0.1709090909090909,0.12316911800096077,0.07999999999999999,0.5404058299671651,0.11078989693382899
XGBoost 365d,1337,0.6492698777359917,0.14735167600294757,0.7165295437546746,0.11452513966480447,0.39805825242718446,0.7431118314424635,0.17787418655097614,0.19687648334119043,0.5199999999999998,0.6276663595776345,0.10891265595907494
MLP 365d,1337,0.7039661059621406,0.17341778077105255,0.7210172026925954,0.15384615384615385,0.5825242718446602,0.7325769854132901,0.2434077079107505,0.22514386288854119,0.5349999999999998,0.6525878156520917,0.16011150968159205
