source_script,seed,status,result_file,Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Best_Val_AUROC,Best_Epoch,Val_AUROC,Val_AUPRC
train_fttransformer_365d_control,44,SUCCESS,multiseed_runs/train_fttransformer_365d_control/seed_44/fttransformer_365d_control_results.csv,FT-Transformer 365d Control,1337,0.7144144073263993,0.1763712321951722,0.7980553477935677,0.1776061776061776,0.4466019417475728,0.8273905996758509,0.2541436464088398,0.2573717835205476,0.6049999999999998,0.6520051338986921,12.0,,
train_fttransformer_365d_control,45,SUCCESS,multiseed_runs/train_fttransformer_365d_control/seed_45/fttransformer_365d_control_results.csv,FT-Transformer 365d Control,1337,0.7126441755440511,0.1805826461865605,0.7995512341062079,0.1764705882352941,0.4368932038834951,0.8298217179902755,0.2513966480446927,0.2400912594407455,0.5449999999999998,0.6521783636091623,14.0,,
train_fttransformer_365d_control,46,SUCCESS,multiseed_runs/train_fttransformer_365d_control/seed_46/fttransformer_365d_control_results.csv,FT-Transformer 365d Control,1337,0.7123609384588756,0.1767617855469992,0.8047868362004488,0.1762295081967213,0.4174757281553398,0.8371150729335495,0.2478386167146974,0.186462081597008,0.5149999999999998,0.650438192426712,16.0,,
train_lstm_gru_365d_baselines,43,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_43/lstm_gru_365d_results.csv,LSTM 365d,1337,0.6975342638196095,0.173668843060598,0.8414360508601346,0.1955307262569832,0.3398058252427184,0.8833063209076175,0.2482269503546099,0.192423135785047,0.6899999999999997,0.7306592965298939,3.0,0.7306592965298939,0.2016963584646523
train_lstm_gru_365d_baselines,43,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_43/lstm_gru_365d_results.csv,GRU 365d,1337,0.6662759043917484,0.1672571241030002,0.8354525056095736,0.1694915254237288,0.2912621359223301,0.8808752025931929,0.2142857142857142,0.1631933265759776,0.6649999999999997,0.7279506137843605,3.0,0.7279506137843605,0.202935200506103
train_lstm_gru_365d_baselines,44,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_44/lstm_gru_365d_results.csv,LSTM 365d,1337,0.6660713442746771,0.1352031999512606,0.7913238593866866,0.1422764227642276,0.3398058252427184,0.8290113452188006,0.2005730659025787,0.2059705416866005,0.6599999999999997,0.7162024897833841,3.0,0.7162024897833841,0.1840395064340474
train_lstm_gru_365d_baselines,44,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_44/lstm_gru_365d_results.csv,GRU 365d,1337,0.6792654718257777,0.1391533256027065,0.8047868362004488,0.1473214285714285,0.3203883495145631,0.8452188006482982,0.2018348623853211,0.2140804672012961,0.6649999999999997,0.6997062968999755,2.0,0.6997062968999755,0.1632759069573561
train_lstm_gru_365d_baselines,45,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_45/lstm_gru_365d_results.csv,LSTM 365d,1337,0.7061179210397949,0.1676090972478507,0.8466716529543755,0.2,0.3300970873786408,0.8897893030794165,0.2490842490842491,0.173133480468345,0.6899999999999997,0.7221789147946047,3.0,0.7221789147946047,0.1789765474602526
train_lstm_gru_365d_baselines,45,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_45/lstm_gru_365d_results.csv,GRU 365d,1337,0.6759374360749635,0.1709275030641405,0.7860882572924458,0.1672727272727272,0.4466019417475728,0.8144246353322528,0.2433862433862433,0.1739360740754264,0.5699999999999998,0.7066197371632846,4.0,0.7066197371632846,0.1684035916212054
train_lstm_gru_365d_baselines,46,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_46/lstm_gru_365d_results.csv,LSTM 365d,1337,0.6987301537347957,0.1740982055051412,0.8160059835452506,0.179372197309417,0.3883495145631068,0.8517017828200972,0.2453987730061349,0.1767919009201837,0.6449999999999998,0.6949975984062867,3.0,0.6949975984062867,0.1579231829742785
train_lstm_gru_365d_baselines,46,SUCCESS,multiseed_runs/train_lstm_gru_365d_baselines/seed_46/lstm_gru_365d_results.csv,GRU 365d,1337,0.6979197809633207,0.1601042162644613,0.7591623036649214,0.1567398119122257,0.4854368932038835,0.7820097244732577,0.2369668246445497,0.194460599552583,0.5949999999999998,0.6994936968007622,2.0,0.6994936968007622,0.1536017765942787
train_medbert_365d_control,43,SUCCESS,multiseed_runs/train_medbert_365d_control/seed_43/medbert_365d_control_results.csv,Med-BERT-style 365d Control,1337,0.7161728375635317,0.1755594484004654,0.7988032909498878,0.17578125,0.4368932038834951,0.8290113452188006,0.2506963788300835,0.1573291738752157,0.5349999999999998,0.726903361443791,5.0,,
