Model,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold
Time-Aware BEHRT-style,0.7791264534114368,0.528623849239071,0.7345494146474272,0.4223856209150327,0.6585987261146496,0.7551939058171745,0.5146839223494276,0.20419336787013112,0.615
GRU,0.7632284701025108,0.4937410696937028,0.7266539613395044,0.4095788604459124,0.6318471337579618,0.7524238227146814,0.4969939879759519,0.2157749665181758,0.625
LSTM,0.7624940452035217,0.484449356357737,0.7228423631908522,0.40536149471974,0.6356687898089172,0.7465373961218836,0.4950396825396825,0.1992353268495642,0.5099999999999999
BEHRT-style,0.7572533832065917,0.508865366587066,0.766947998910972,0.4617044228694714,0.5452229299363057,0.8272160664819944,0.5,0.1725468446360173,0.5249999999999999
MLP,0.7400473296046015,0.474958051318201,0.7508848352845086,0.4322916666666667,0.5286624203821656,0.8112880886426593,0.4756446991404011,0.1966588711713093,0.5249999999999999
XGBoost,0.7364056407361012,0.4810126012331281,0.7816498774843452,0.4887417218543046,0.4700636942675159,0.8663434903047091,0.4792207792207792,0.1926119876785028,0.585
Logistic Regression,0.7266221306702895,0.446994439122848,0.7274707323713585,0.4025270758122743,0.5681528662420382,0.7707756232686981,0.4712097200211305,0.2047786834945196,0.4999999999999999
Random Forest,0.683559027471461,0.3862922646366694,0.6795534985025864,0.3403908794788273,0.532484076433121,0.7195290858725761,0.4153005464480874,0.1638203149631176,0.3
