Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Val_AUROC,Val_AUPRC,Best_Val_AUROC,Best_Epoch
LSTM 365d,1337,0.6731129329200172,0.16324887956502662,0.793567688855647,0.15261044176706828,0.36893203883495146,0.8290113452188006,0.2159090909090909,0.167768701362667,0.5999999999999998,0.7023598611012686,0.15853206217103138,0.7023598611012686,4
GRU 365d,1337,0.649368223946122,0.167824850278258,0.7419596110695588,0.14201183431952663,0.46601941747572817,0.7649918962722853,0.21768707482993196,0.1731266342408302,0.48999999999999977,0.7040212915062324,0.16615147350961493,0.7040212915062324,4
