Model,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold
ClinicalBERT EHR-to-text,0.7543384000564604,0.47115044006053974,0.7549686904437789,0.4420946626384693,0.5592356687898089,0.8081717451523546,0.4938132733408324,0.17323032672804448,0.5099999999999999
Med-BERT-style,0.7533057942375214,0.49137732495258934,0.7511570922951266,0.4362017804154303,0.5617834394904458,0.8026315789473685,0.4910913140311804,0.21121724058762453,0.69
TransTab,0.7340239426928031,0.4708728783773848,0.732915872583719,0.4090909090909091,0.5617834394904458,0.7794321329639889,0.47342995169082125,0.1432752772197993,0.21999999999999997
FT-Transformer,0.731371191135734,0.4781523726694677,0.7481622651783283,0.42677824267782427,0.5197452229299363,0.8102493074792244,0.46869615163699024,0.19281572816478043,0.5149999999999999
